"","rab3e84e","r5c98a1f"
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_median",0,15
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_median",0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_median",0,0
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_median",0,1
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",9,4
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_median",12,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",12,0
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_median",0,27
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",12,0
"deSolve/R/functions.R#292#""as.character"".ecoliFASTHMMTEST_selac_UNREST_median",0,25
"""delayedAssign"".ecoliFASTHMMTEST_selac_UNREST_median",1,0
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_median",0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_quadrature",6,6
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_quadrature",3,7
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_quadrature",1,8
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,19
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,4
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,13
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,1
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",10,6
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_quadrature",9,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",12,0
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,31
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",12,0
"deSolve/R/functions.R#292#""as.character"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,25
"""delayedAssign"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_quadrature",12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_lognormal",5,3
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_lognormal",2,3
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,4
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,11
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,3
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,9
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,36
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_lognormal",6,5
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_lognormal",10,0
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_lognormal",12,0
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",12,0
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_lognormal",12,0
"deSolve/R/lsoda.R#230#"".Call"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,32
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_lognormal",12,0
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_lognormal",12,0
"deSolve/R/functions.R#292#""as.character"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,28
"""delayedAssign"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0
"deSolve/R/rk.R#75#""$"".ecoliFASTHMMTEST_selac_UNREST_lognormal",0,0
"GrahamDB-selac-ca13013/R/selac.R#1161#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_lognormal",12,36
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_none",0,0
"""lapply"".ecoliHMMEVAL50_selac_UNREST_none",0,14
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",0,20
"""FUN"".ecoliHMMEVAL50_selac_UNREST_none",0,24
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_none",0,29
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_none",0,16
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_none",0,30
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_none",0,30
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_none",0,0
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_none",0,0
