"","self.time.v1.6.1-rc1","self.time.r744c6c8","self.time.rdd94866","self.time.r38a4c36","self.time.r8f13a5a","self.time.r9e90977","self.pct.v1.6.1-rc1","self.pct.r744c6c8","self.pct.rdd94866","self.pct.r38a4c36","self.pct.r8f13a5a","self.pct.r9e90977","total.time.v1.6.1-rc1","total.time.r744c6c8","total.time.rdd94866","total.time.r38a4c36","total.time.r8f13a5a","total.time.r9e90977","total.pct.v1.6.1-rc1","total.pct.r744c6c8","total.pct.rdd94866","total.pct.r38a4c36","total.pct.r8f13a5a","total.pct.r9e90977","mem.total.v1.6.1-rc1","mem.total.r744c6c8","mem.total.rdd94866","mem.total.r38a4c36","mem.total.r8f13a5a","mem.total.r9e90977","samples.v1.6.1-rc1","samples.r744c6c8","samples.rdd94866","samples.r38a4c36","samples.r8f13a5a","samples.r9e90977"
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_GTR_quadrature",,6.13333333333333,5.46666666666667,1.15909090909091,0.1125,0.131034482758621,,0.143666666666667,0.129333333333333,0.231363636363636,0.0275,0.036551724137931,,4086.25,4091.25,446.5,348.185714285714,300.298275862069,,96.242,96.9563333333333,89.2654545454545,86.7164285714286,84.8806896551724,,46724.07,47216.2066666667,9798.21818181818,59738.8535714286,49368.2655172414,0,30,30,22,28,29
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_GTR_quadrature",,3954.73333333333,3957.8,1.01851851851852,,,,93.1436666666667,93.7916666666667,0.203703703703704,,,,4065.7,4071.35,443.87037037037,,,,95.7566666666667,96.483,88.7796296296296,,,,46483.3266666667,46990.3433333333,9731.2962962963,,,0,30,30,27,0,0
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_quadrature",0.5,0.538461538461538,0.541666666666667,0.541666666666667,0.216666666666667,0.16551724137931,0.01,0.0107692307692308,0.0108333333333333,0.108333333333333,0.0543333333333333,0.046551724137931,2239.125,2231.30769230769,2209.04166666667,253.625,202.43,177.236206896552,52.5175,52.56,52.3866666666667,50.7658333333333,50.436,50.1137931034483,29094.075,27345.5692307692,26791.0833333333,6117.9,37085.07,31928.7689655172,8,13,12,12,30,29
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_quadrature",0.722222222222222,0.55,0.541666666666667,0.6,0.16551724137931,0.216666666666667,0.0155555555555556,0.011,0.0108333333333333,0.12,0.0403448275862069,0.0613333333333333,2008.72222222222,1996.6,1983.45833333333,222.3,175.124137931034,152.468333333333,46.9433333333333,47.045,46.9933333333333,44.477,43.6255172413793,43.1063333333333,25427.9888888889,23926.42,23543.625,5040.73,30727.5,25683.6566666667,9,10,12,10,29,30
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_GTR_quadrature",,,,46.95,,,,,,9.39066666666667,,,,,,434.85,,,,,,86.9776666666667,,,,,,9540.95,,,0,0,0,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_quadrature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"GrahamDB-selac-8f13a5a/R/selac.R#3450#""internal_expmt"".ecoliSHORT_selac_GTR_quadrature",,,,,45.5366666666667,48.8266666666667,,,,,11.3456666666667,13.805,,,,,347.36,299.428333333333,,,,,86.545,84.6533333333333,,,,,59544.32,49252.48,0,0,0,0,30,30
"GrahamDB-selac-ca13013/R/selac.R#1551#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_quadrature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"expm/R/expm2.R#104#""%*%"".ecoliSHORT_selac_GTR_quadrature",,,,63.1333333333333,,,,,,12.6263333333333,,,,,,65.6166666666667,,,,,,13.1226666666667,,,,,,1407.13666666667,,,0,0,0,30,0,0
"GrahamDB-selac-eb6213a/R/selac.R#3392#""%*%"".ecoliSHORT_selac_GTR_quadrature",,,,,64.1033333333333,64.4,,,,,15.968,18.2016666666667,,,,,66.615,67.0166666666667,,,,,16.592,18.94,,,,,11117.2266666667,10592.0933333333,0,0,0,0,30,30
"""solve.default"".ecoliSHORT_selac_GTR_quadrature",,,,66.9166666666667,66.4016666666667,66.425,,,,13.385,16.545,18.781,,,,70.4,70.66,70.7033333333333,,,,14.08,17.606,19.9916666666667,,,,1528.39666666667,11760.4566666667,11131.5666666667,0,0,0,30,30,30
"GrahamDB-selac-eb6213a/R/selac.R#3391#""solve"".ecoliSHORT_selac_GTR_quadrature",,,,,1.83166666666667,1.77,,,,,0.457333333333333,0.501,,,,,67.6833333333333,67.5466666666667,,,,,16.8613333333333,19.0956666666667,,,,,11356.32,10770.2833333333,0,0,0,0,30,30
"""force"".ecoliSHORT_selac_UNREST_quadrature",,,,0.05,0.05,0.05,,,,0.01,0.01,0.01,,,,511.3,403.825,355.6375,,,,100,100,100,,,,106747.725,73043.25,63481.025,0,0,0,4,2,8
"""FUN"".ecoliSHORT_selac_UNREST_quadrature",1.06521739130435,1.12962962962963,0.981481481481482,0.716666666666667,0.786666666666667,0.751666666666667,0.0239130434782609,0.0259259259259259,0.0222222222222222,0.143,0.192666666666667,0.210666666666667,4266.97826086957,4246.2037037037,4216.74074074074,503.738333333333,403.415,354.655,99.9260869565217,99.927037037037,99.9259259259259,99.3473333333333,99.1833333333333,99.07,54958.152173913,51859.7407407407,51829.5814814815,104173.973333333,73802.1366666667,62960.62,23,27,27,30,30,30
"""lapply"".ecoliSHORT_selac_UNREST_quadrature",2.91666666666667,2.75,3.18333333333333,0.628333333333333,0.268333333333333,0.288333333333333,0.069,0.0646666666666667,0.0763333333333333,0.125333333333333,0.0666666666666667,0.0806666666666667,4269.58333333333,4244.61666666667,4216.13333333333,503.53,403.198333333333,354.471666666667,99.9216666666667,99.9213333333333,99.9206666666667,99.3066666666667,99.1313333333333,99.019,54971.51,51862.52,51818.82,104138.5,73759.0966666667,62928.3266666667,30,30,30,30,30,30
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_UNREST_quadrature",3960.63333333333,,,,,,92.6903333333333,,,,,,4090.85,,,,,,95.7366666666667,,,,,,50088.5833333333,,,,,,30,0,0,0,0,0
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_UNREST_quadrature",,5.88333333333333,5.4,0.773333333333333,0.128,0.125925925925926,,0.139,0.128333333333333,0.154333333333333,0.0308,0.0355555555555556,,4087.66666666667,4090.63333333333,452.965,352.012,303.505555555556,,96.225,96.944,89.3346666666667,86.7012,84.8714814814815,,47172.44,47257.18,90856.9766666667,61091.332,49960.0185185185,0,30,30,30,25,27
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_UNREST_quadrature",,3957.41666666667,3957.55,1.00166666666667,,,,93.1583333333333,93.7893333333333,0.198666666666667,,,,4068.6,4070.5,450.37,,,,95.7753333333333,96.467,88.8226666666667,,,,46956.9633333333,47028.5466666667,90346.3566666667,,,0,30,30,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_quadrature",0.714285714285714,0.6,0.576923076923077,0.203333333333333,0.227586206896552,0.206896551724138,0.015,0.012,0.0115384615384615,0.0406666666666667,0.0558620689655172,0.0582758620689655,2240.5,2228.4,2210,257.82,205.362068965517,179.396551724138,52.485,52.52,52.4323076923077,50.8473333333333,50.4420689655172,50.1337931034483,28918.3571428571,27548.11,26857.7538461538,54203.33,38172.0482758621,32367.924137931,14,10,13,30,29,29
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_quadrature",0.625,0.5,0.5625,0.179310344827586,0.172413793103448,0.227586206896552,0.01375,0.01,0.01125,0.0358620689655172,0.0420689655172414,0.063448275862069,2009.25,1988.57142857143,1992.6875,224.977586206897,177.389655172414,154.418965517241,46.93,46.96,46.96625,44.3775862068966,43.6258620689655,43.1448275862069,25659.2125,23959.4428571429,24445.2125,45462.6517241379,31182.5586206897,26089.4793103448,8,7,8,29,29,29
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_UNREST_quadrature",,,,46.1966666666667,,,,,,9.11133333333333,,,,,,440.783333333333,,,,,,86.9323333333333,,,,,,88401.1466666667,,,0,0,0,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_quadrature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"GrahamDB-selac-8f13a5a/R/selac.R#3450#""internal_expmt"".ecoliSHORT_selac_UNREST_quadrature",,,,,46.0283333333333,49.5983333333333,,,,,11.3183333333333,13.8543333333333,,,,,351.896666666667,303.073333333333,,,,,86.5163333333333,84.6603333333333,,,,,60839.5333333333,49901.51,0,0,0,0,30,30
"GrahamDB-selac-ca13013/R/selac.R#1551#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_quadrature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"expm/R/expm2.R#104#""%*%"".ecoliSHORT_selac_UNREST_quadrature",,,,65.21,,,,,,12.8583333333333,,,,,,67.53,,,,,,13.315,,,,,,13447.69,,,0,0,0,30,0,0
"GrahamDB-selac-eb6213a/R/selac.R#3392#""%*%"".ecoliSHORT_selac_UNREST_quadrature",,,,,65.15,64.7533333333333,,,,,16.015,18.0846666666667,,,,,67.625,67.1933333333333,,,,,16.6226666666667,18.765,,,,,11398.0233333333,10672.3166666667,0,0,0,0,30,30
"""solve.default"".ecoliSHORT_selac_UNREST_quadrature",,,,67.4966666666667,67.5916666666667,67.4566666666667,,,,13.3123333333333,16.6203333333333,18.8436666666667,,,,70.83,72.115,71.8633333333333,,,,13.9693333333333,17.7326666666667,20.076,,,,13985.4666666667,12032.37,11430.5766666667,0,0,0,30,30,30
"GrahamDB-selac-eb6213a/R/selac.R#3391#""solve"".ecoliSHORT_selac_UNREST_quadrature",,,,,1.81833333333333,1.91333333333333,,,,,0.447333333333333,0.534,,,,,68.9416666666667,68.6316666666667,,,,,16.9486666666667,19.1703333333333,,,,,11585.9633333333,11045.34,0,0,0,0,30,30
"""force"".ecoliSHORT_selac_GTR_lognormal",0.5,,,0.0625,0.05,0.075,0.01,,,0.0125,0.01,0.015,5179.5,,,653.25,543.733333333333,497,100,,,100,100,100,55583.3,,,130132.225,97914.0333333333,89278.15,1,0,0,4,3,2
"""FUN"".ecoliSHORT_selac_GTR_lognormal",0.934782608695652,1.12,1.03448275862069,0.823076923076923,0.733333333333333,0.798333333333333,0.018695652173913,0.0224,0.0206896551724138,0.125384615384615,0.135,0.161,5226.89130434783,5208.56,5183.62068965517,652.463461538462,539.333333333333,488.546666666667,99.9347826086957,99.934,99.9362068965517,99.5030769230769,99.3883333333333,99.3346666666667,55674.152173913,52165.24,50966.3793103448,120260.276923077,81032.1266666667,88727.0933333333,23,25,29,26,30,30
"""lapply"".ecoliSHORT_selac_GTR_lognormal",2.85,2.51666666666667,2.8,0.613461538461539,0.278,0.29,0.057,0.0503333333333333,0.056,0.0942307692307692,0.0528,0.058,5232.71666666667,5207.06666666667,5182.35,652.394230769231,539.394,488.338333333333,99.93,99.931,99.9313333333333,99.4692307692308,99.3556,99.292,55678.73,52154.5066666667,50963.0033333333,120224.669230769,91517.112,88689.6033333333,30,30,30,26,25,30
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_GTR_lognormal",4923.7,,,,,,94.0316666666667,,,,,,5055.51666666667,,,,,,96.549,,,,,,50817.8933333333,,,,,,30,0,0,0,0,0
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_GTR_lognormal",,5.25,5.35,0.813793103448276,0.154347826086957,0.144642857142857,,0.102,0.105333333333333,0.123793103448276,0.0304347826086957,0.0289285714285714,,5049.08333333333,5055.78333333333,600.927586206897,488.432608695652,437.683928571429,,96.901,97.4926666666667,91.6827586206897,89.99,88.9489285714286,,47195.8066666667,47375.5733333333,98042.6965517241,82062.6260869565,75632.5035714286,0,30,30,29,23,28
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_GTR_lognormal",,4920.71666666667,4928.31666666667,1.03620689655172,,,,94.4373333333333,95.035,0.157931034482759,,,,5030.38333333333,5037,598.698275862069,,,,96.5433333333333,97.1313333333333,91.3193103448276,,,,46993.27,47173.5466666667,97626.7137931035,,,0,30,30,29,0,0
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_lognormal",0.727272727272727,0.5,0.590909090909091,0.22,0.206,0.233333333333333,0.0145454545454545,0.01,0.0118181818181818,0.0344,0.0408,0.0466666666666667,2748.36363636364,2732.35714285714,2722.04545454545,336.142,277.396,250.193333333333,52.5427272727273,52.5014285714286,52.4809090909091,51.322,51.0748,50.8713333333333,29280.5272727273,27503.0571428571,26375.2363636364,65191.352,49731.756,46216.12,11,7,11,25,25,30
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_lognormal",0.833333333333333,0.583333333333333,0.5,0.2125,0.176,0.188333333333333,0.0166666666666667,0.0116666666666667,0.01,0.0333333333333333,0.0336,0.0376666666666667,2466.66666666667,2457.29166666667,2436.85714285714,295.066666666667,242,217.698333333333,47.0133333333333,47.0183333333333,47.0057142857143,45.0308333333333,44.5508,44.2633333333333,26019.5333333333,24243.7666666667,23934.1714285714,57093.9666666667,40887.516,38169.84,9,12,7,24,25,30
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_GTR_lognormal",,,,46.0733333333333,,,,,,7.02666666666667,,,,,,589.146666666667,,,,,,89.8443333333333,,,,,,93271.6233333333,,,0,0,0,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_lognormal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"GrahamDB-selac-8f13a5a/R/selac.R#3450#""internal_expmt"".ecoliSHORT_selac_GTR_lognormal",,,,,45.8116666666667,48.265,,,,,8.44233333333333,9.81433333333333,,,,,487.48,436.668333333333,,,,,89.831,88.786,,,,,70074.27,75602.85,0,0,0,0,30,30
"GrahamDB-selac-ca13013/R/selac.R#1551#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_lognormal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"expm/R/expm2.R#104#""%*%"".ecoliSHORT_selac_GTR_lognormal",,,,177.861666666667,,,,,,27.121,,,,,,181.583333333333,,,,,,27.6896666666667,,,,,,28196.6333333333,,,0,0,0,30,0,0
"GrahamDB-selac-eb6213a/R/selac.R#3392#""%*%"".ecoliSHORT_selac_GTR_lognormal",,,,,178.386666666667,179.488333333333,,,,,32.8693333333333,36.4923333333333,,,,,182.398333333333,183.373333333333,,,,,33.6086666666667,37.2806666666667,,,,,26158.8066666667,31919.26,0,0,0,0,30,30
"""solve.default"".ecoliSHORT_selac_GTR_lognormal",,,,74.3833333333333,72.7266666666667,73.6466666666667,,,,11.3433333333333,13.4016666666667,14.975,,,,77.7683333333333,76.9566666666667,78.1533333333333,,,,11.8596666666667,14.181,15.8923333333333,,,,12172.2766666667,10847.66,12893.86,0,0,0,30,30,30
"GrahamDB-selac-eb6213a/R/selac.R#3391#""solve"".ecoliSHORT_selac_GTR_lognormal",,,,,1.82,1.72666666666667,,,,,0.336333333333333,0.351666666666667,,,,,70.5566666666667,71.815,,,,,13.0003333333333,14.6003333333333,,,,,9992.99333333333,11953.2133333333,0,0,0,0,30,30
"""force"".ecoliSHORT_selac_UNREST_lognormal",0.05,,,0.05,0.05,0.05,0,,,0.01,0.01,0.01,5326.525,,,662.475,550.614285714286,503.7,100,,,100,100,100,88628.45,,,136633.25,100895.285714286,92290.06,2,0,0,4,7,5
"""FUN"".ecoliSHORT_selac_UNREST_lognormal",1.1,0.9,1.125,0.703333333333333,0.745,0.781666666666667,0.02,0.0175,0.02,0.105666666666667,0.136,0.156333333333333,5313.5875,5289.75,5245.6,661.718333333333,547.695,496.021666666667,99.94,99.94,99.94,99.501,99.3993333333333,99.3396666666667,87979.175,84740.95,74238.85,131431.646666667,100533.943333333,90726.2133333333,4,4,4,30,30,30
"""lapply"".ecoliSHORT_selac_UNREST_lognormal",2.5875,2.7375,2.4625,0.556666666666667,0.306666666666667,0.24,0.05,0.0525,0.045,0.084,0.056,0.048,5313.425,5289.5125,5245.3625,661.511666666667,547.488333333333,495.793333333333,99.93,99.93,99.93,99.4696666666667,99.3616666666667,99.2943333333333,87920.3,84706.6,74185.7,131402.686666667,100499.003333333,90683.7533333333,4,4,4,30,30,30
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_UNREST_lognormal",4996.8,,,,,,93.98,,,,,,5130.925,,,,,,96.5,,,,,,57563.9,,,,,,4,0,0,0,0,0
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_UNREST_lognormal",,6.0625,6.5375,0.738333333333333,0.129166666666667,0.148333333333333,,0.115,0.125,0.111666666666667,0.0258333333333333,0.0296666666666667,,5126.1125,5116.375,609.933333333333,494.547916666667,444.158333333333,,96.8475,97.4775,91.7133333333333,89.9758333333333,88.9533333333333,,53688.35,53808.575,118020.436666667,86964.3291666667,77403.1166666667,0,4,4,30,24,30
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_UNREST_lognormal",,4991.775,4982.7875,0.985,,,,94.3075,94.93,0.147666666666667,,,,5105.5,5095.2625,607.471666666667,,,,96.4575,97.075,91.344,,,,53468.575,53553.55,117569.626666667,,,0,4,4,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_lognormal",0.3125,0.35,0.283333333333333,0.194827586206897,0.198333333333333,0.206666666666667,0.0075,0.005,0.00666666666666667,0.0289655172413793,0.0376666666666667,0.0413333333333333,2790.4625,2784.1125,2747.46666666667,340.979310344828,281.476666666667,254.086666666667,52.485,52.6,52.3833333333333,51.2886206896552,51.0853333333333,50.8866666666667,47531.05,46061.7,38204.1333333333,69643.0068965517,52296.3566666667,47375.19,4,4,3,29,30,30
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_lognormal",0.175,0.2,0.1125,0.181666666666667,0.185,0.208333333333333,0,0,0,0.0283333333333333,0.0356666666666667,0.0416666666666667,2501.9125,2484.525,2472.1125,299.583333333333,245.288333333333,220.988333333333,47.055,46.9375,47.0975,45.0476666666667,44.5156666666667,44.2576666666667,36504.25,34703.6,31002.525,57408.7166666667,43667.4966666667,38848.8666666667,4,4,4,30,30,30
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_UNREST_lognormal",,,,46.0533333333333,,,,,,6.926,,,,,,597.666666666667,,,,,,89.869,,,,,,115678.753333333,,,0,0,0,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_lognormal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"GrahamDB-selac-8f13a5a/R/selac.R#3450#""internal_expmt"".ecoliSHORT_selac_UNREST_lognormal",,,,,45.7233333333333,49.4616666666667,,,,,8.299,9.90633333333333,,,,,495.156666666667,443.421666666667,,,,,89.8626666666667,88.805,,,,,87107.0133333333,77276.64,0,0,0,0,30,30
"GrahamDB-selac-ca13013/R/selac.R#1551#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_lognormal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"expm/R/expm2.R#104#""%*%"".ecoliSHORT_selac_UNREST_lognormal",,,,182.733333333333,,,,,,27.4743333333333,,,,,,186.478333333333,,,,,,28.0386666666667,,,,,,35152.4433333333,,,0,0,0,30,0,0
"GrahamDB-selac-eb6213a/R/selac.R#3392#""%*%"".ecoliSHORT_selac_UNREST_lognormal",,,,,182.51,181.908333333333,,,,,33.1196666666667,36.4286666666667,,,,,186.426666666667,185.945,,,,,33.8313333333333,37.237,,,,,32554.67,32586.9866666667,0,0,0,0,30,30
"""solve.default"".ecoliSHORT_selac_UNREST_lognormal",,,,75.14,73.555,73.9783333333333,,,,11.298,13.3486666666667,14.8163333333333,,,,78.4766666666667,78.015,78.4233333333333,,,,11.8013333333333,14.1596666666667,15.7066666666667,,,,15031.8266666667,13366.0666666667,13036.7633333333,0,0,0,30,30,30
"GrahamDB-selac-eb6213a/R/selac.R#3391#""solve"".ecoliSHORT_selac_UNREST_lognormal",,,,,1.82666666666667,1.83166666666667,,,,,0.331,0.366333333333333,,,,,71.9483333333333,72.11,,,,,13.056,14.4383333333333,,,,,12395.0366666667,12104.8733333333,0,0,0,0,30,30
