"","self.time.v1.6.1-rc1","self.time.r744c6c8","self.time.rdd94866","self.time.r38a4c36","self.time.r8f13a5a","self.time.r9e90977","self.pct.v1.6.1-rc1","self.pct.r744c6c8","self.pct.rdd94866","self.pct.r38a4c36","self.pct.r8f13a5a","self.pct.r9e90977","total.time.v1.6.1-rc1","total.time.r744c6c8","total.time.rdd94866","total.time.r38a4c36","total.time.r8f13a5a","total.time.r9e90977","total.pct.v1.6.1-rc1","total.pct.r744c6c8","total.pct.rdd94866","total.pct.r38a4c36","total.pct.r8f13a5a","total.pct.r9e90977","mem.total.v1.6.1-rc1","mem.total.r744c6c8","mem.total.rdd94866","mem.total.r38a4c36","mem.total.r8f13a5a","mem.total.r9e90977","samples.v1.6.1-rc1","samples.r744c6c8","samples.rdd94866","samples.r38a4c36","samples.r8f13a5a","samples.r9e90977"
"""FUN"".ecoliSHORT_selac_UNREST_none",0.833333333333333,0.857142857142857,1.02777777777778,0.691666666666667,0.635,0.645,0.0833333333333333,0.0857142857142857,0.102777777777778,0.571666666666667,0.652,0.756,1013.2380952381,1007.5,995.611111111111,117.778333333333,93.82,82.0083333333333,99.6838095238095,99.6766666666667,99.6694444444445,97.2806666666667,96.5513333333333,96.0623333333333,13425.0285714286,12661.180952381,12603.9722222222,23343.73,16128.5466666667,13901.0666666667,21,21,18,30,30,30
"""lapply"".ecoliSHORT_selac_UNREST_none",0.982142857142857,1.19230769230769,0.928571428571429,0.171666666666667,0.105357142857143,0.0907407407407407,0.0982142857142857,0.119230769230769,0.0928571428571429,0.140666666666667,0.1075,0.108148148148148,1013.08928571429,1007.13461538462,996.714285714286,117.558333333333,93.6285714285714,81.9277777777778,99.665,99.6611538461539,99.6457142857143,97.0996666666667,96.3875,95.8892592592593,13427.1321428571,12684.8538461538,12597,23297.6566666667,16082.3214285714,13890.3555555556,28,26,21,30,28,27
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_UNREST_none",931.25,,,,,,91.5733333333333,,,,,,966.65,,,,,,95.055,,,,,,12041.3233333333,,,,,,30,0,0,0,0,0
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_UNREST_none",,1.7,1.57142857142857,0.167857142857143,0.0791666666666667,0.0714285714285714,,0.169666666666667,0.157142857142857,0.137857142857143,0.08,0.0857142857142857,,966.35,964.267857142857,102.982142857143,79.7791666666667,67.05,,95.621,96.3739285714286,85.0221428571429,81.44,78.6814285714286,,11392.61,11726.5607142857,20003.2964285714,12929.9583333333,10597.5357142857,0,30,28,28,12,14
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_UNREST_none",,931.05,930.15,0.245,,,,92.1276666666667,92.9946666666667,0.202333333333333,,,,960.483333333333,958.35,102.358333333333,,,,95.042,95.814,84.545,,,,11324.18,11656.9566666667,19772.6566666667,,,0,30,30,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_UNREST_none",,,,11.2266666666667,,,,,,9.27233333333333,,,,,,99.865,,,,,,82.4853333333333,,,,,,19320.2766666667,,,0,0,0,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_none",0.5,0.5,0.5,0.075,0.0695652173913043,0.0738095238095238,0.05,0.05,0.05,0.06,0.0704347826086957,0.0885714285714286,529.75,530.25,522.75,58.996875,46.3565217391304,39.9071428571429,52.18,52.305,52.21,48.56875,47.6217391304348,46.9842857142857,7127.75,6710.65,6617.1,12528.3125,8196.2,6766.9619047619,2,2,2,16,23,21
"GrahamDB-selac-8f13a5a/R/selac.R#3450#""internal_expmt"".ecoliSHORT_selac_UNREST_none",,,,,11.1066666666667,11.9333333333333,,,,,11.4323333333333,13.9726666666667,,,,,78.7916666666667,66.9533333333333,,,,,81.0826666666667,78.4243333333333,,,,,12829.8233333333,10553,0,0,0,0,30,30
"GrahamDB-selac-ca13013/R/selac.R#1551#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_none",0.5,0.5,0.5,0.0888888888888889,0.08125,0.0886363636363636,0.05,0.05,0.05,0.0716666666666667,0.0825,0.105,479.25,473.625,470.333333333333,51.7361111111111,40.2354166666667,34.6363636363636,46.745,46.855,46.8166666666667,42.71,41.4066666666667,40.5540909090909,6259.6,5845.425,5909.86666666667,9496.03888888889,6579.72083333333,5821.69090909091,2,4,3,18,24,22
"expm/R/expm2.R#104#""%*%"".ecoliSHORT_selac_UNREST_none",,,,7.92333333333333,,,,,,6.542,,,,,,8.23333333333333,,,,,,6.79833333333333,,,,,,1532.51,,,0,0,0,30,0,0
"GrahamDB-selac-eb6213a/R/selac.R#3392#""%*%"".ecoliSHORT_selac_UNREST_none",,,,,7.81,7.78166666666667,,,,,8.03166666666667,9.10933333333333,,,,,8.17,8.095,,,,,8.40166666666667,9.47766666666667,,,,,1234.2,1230.79,0,0,0,0,30,30
"""solve.default"".ecoliSHORT_selac_UNREST_none",,,,16.9966666666667,16.9383333333333,16.9533333333333,,,,14.0393333333333,17.434,19.8643333333333,,,,17.93,18.1183333333333,18.13,,,,14.811,18.6486666666667,21.2443333333333,,,,3315.44333333333,2856.16,2670.83333333333,0,0,0,30,30,30
"GrahamDB-selac-eb6213a/R/selac.R#3391#""solve"".ecoliSHORT_selac_UNREST_none",,,,,0.438333333333333,0.426666666666667,,,,,0.449666666666667,0.499333333333333,,,,,16.71,16.7816666666667,,,,,17.1876666666667,19.657,,,,,2632.03666666667,2472.53,0,0,0,0,30,30
"""force"".ecoliSHORT_selac_GTR_median",,0.5,0.5,,0.05,0.06,,0.01,0.01,,0.01,0.022,,3942.5,3901.5,,361.05,311.54,,100,100,,100,100,,51003.8,50878.2,,65150.5,53966.76,0,1,1,0,1,5
"""FUN"".ecoliSHORT_selac_GTR_median",1.05555555555556,1.17307692307692,1.48275862068966,1,0.783333333333333,0.725,0.0266666666666667,0.03,0.0386206896551724,0.22125,0.22,0.232333333333333,3971.74074074074,3949.05769230769,3919.5,445.4375,352.28,308.485,99.9192592592593,99.915,99.9151724137931,99.28125,99.079,98.945,54343.4703703704,51141.5,50771.4793103448,11135.3791666667,63300.8033333333,53764.68,27,26,29,24,30,30
"""lapply"".ecoliSHORT_selac_GTR_median",3.71666666666667,3.13333333333333,3.63333333333333,0.75,0.248333333333333,0.261666666666667,0.0933333333333333,0.0793333333333333,0.0926666666666667,0.1655,0.0713333333333333,0.084,3970.81666666667,3947.58333333333,3918.86666666667,445.9,352.07,308.268333333333,99.9126666666667,99.911,99.912,99.2385,99.0196666666667,98.8766666666667,54342.7333333333,51143.5833333333,50765.0533333333,11141.425,63257.39,53718.27,30,30,30,20,30,30
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_GTR_median",3659.05,,,,,,92.07,,,,,,3790.76666666667,,,,,,95.3836666666667,,,,,,49231.8433333333,,,,,,30,0,0,0,0,0
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_GTR_median",,5.9,6.06666666666667,1.02173913043478,0.15,0.132692307692308,,0.150333333333333,0.155,0.225652173913043,0.0419230769230769,0.0430769230769231,,3789.88333333333,3793,396.021739130435,301.453846153846,258.534615384615,,95.9206666666667,96.7046666666667,88.0773913043478,84.9961538461538,82.8996153846154,,46294.38,46807.7966666667,8940.05217391304,51055.3269230769,41331.9346153846,0,30,30,23,26,26
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_GTR_median",,3657.05,3658.01666666667,1.09615384615385,,,,92.559,93.2626666666667,0.243461538461538,,,,3767.5,3769.63333333333,393.653846153846,,,,95.355,96.1093333333333,87.5938461538462,,,,46018.8933333333,46524.5833333333,8901.39230769231,,,0,30,30,26,0,0
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_median",0.541666666666667,0.5625,0.7,0.625,0.206896551724138,0.213333333333333,0.0116666666666667,0.0125,0.018,0.1375,0.0586206896551724,0.0686666666666667,2089.16666666667,2067,2053.93333333333,229.8125,178.531034482759,155.303333333333,52.5366666666667,52.475,52.4106666666667,50.90625,50.2034482758621,49.814,28682.6333333333,27008.6375,26426.1066666667,5669.7125,32323.3,27135.2966666667,12,8,15,8,29,30
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_median",0.5,0.590909090909091,0.590909090909091,0.555555555555556,0.198333333333333,0.185714285714286,0.01,0.0136363636363636,0.0136363636363636,0.122222222222222,0.055,0.0596428571428571,1867.18181818182,1850.81818181818,1841.36363636364,198.722222222222,153.355,132.626785714286,46.9018181818182,46.9081818181818,46.9245454545455,44.1266666666667,43.13,42.5342857142857,25349.9636363636,23791.4363636364,23801.1,4828.04444444444,26632.6066666667,22206.1892857143,11,11,11,9,30,28
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_GTR_median",,,,45.6166666666667,,,,,,10.1563333333333,,,,,,383.6,,,,,,85.3973333333333,,,,,,8684.59333333333,,,0,0,0,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"GrahamDB-selac-8f13a5a/R/selac.R#3450#""internal_expmt"".ecoliSHORT_selac_GTR_median",,,,,44.045,46.5266666666667,,,,,12.3893333333333,14.9243333333333,,,,,301.578333333333,257.626666666667,,,,,84.816,82.6316666666667,,,,,50851.1766666667,41298.6533333333,0,0,0,0,30,30
"GrahamDB-selac-ca13013/R/selac.R#1551#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_GTR_median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"expm/R/expm2.R#104#""%*%"".ecoliSHORT_selac_GTR_median",,,,27.45,,,,,,6.11,,,,,,28.4166666666667,,,,,,6.32566666666667,,,,,,622.54,,,0,0,0,30,0,0
"GrahamDB-selac-eb6213a/R/selac.R#3392#""%*%"".ecoliSHORT_selac_GTR_median",,,,,27.64,27.76,,,,,7.767,8.898,,,,,28.8166666666667,28.955,,,,,8.09866666666667,9.28066666666667,,,,,4581.28,4335.03333333333,0,0,0,0,30,30
"""solve.default"".ecoliSHORT_selac_GTR_median",,,,66.95,65.63,65.8433333333333,,,,14.9053333333333,18.463,21.1223333333333,,,,70.1,70.2316666666667,70.49,,,,15.6076666666667,19.7566666666667,22.6126666666667,,,,1572.27,11581.9333333333,10820.8766666667,0,0,0,30,30,30
"GrahamDB-selac-eb6213a/R/selac.R#3391#""solve"".ecoliSHORT_selac_GTR_median",,,,,1.615,1.675,,,,,0.453666666666667,0.537,,,,,61.1,61.5233333333333,,,,,17.1806666666667,19.73,,,,,10197.8866666667,9491.32333333333,0,0,0,0,30,30
"""force"".ecoliSHORT_selac_UNREST_median",,,,0.0625,0.06,0.0642857142857143,,,,0.0125,0.014,0.0242857142857143,,,,461.7875,362.54,318.135714285714,,,,100,100,100,,,,93343.025,64869.98,55629.8857142857,0,0,0,4,5,7
"""FUN"".ecoliSHORT_selac_UNREST_median",,0.5,2,0.766666666666667,0.705,0.816666666666667,,0.01,0.05,0.166666666666667,0.195333333333333,0.258,,4197.5,4196.5,454.84,358.513333333333,314.1,,99.92,99.93,99.2756666666667,99.0766666666667,98.9516666666667,,51436.3,51366.6,94055.99,64353.23,54976.9766666667,0,1,1,30,30,30
"""lapply"".ecoliSHORT_selac_UNREST_median",3.5,4,5,0.596666666666667,0.293333333333333,0.278333333333333,0.08,0.1,0.12,0.130333333333333,0.082,0.0876666666666667,4160.5,4197,4196,454.62,358.318333333333,313.876666666667,99.93,99.9,99.92,99.2273333333333,99.0233333333333,98.8813333333333,54805.7,51430.1,51366.6,94029.15,64309,54926.8233333333,1,1,1,30,30,30
"GrahamDB-selac-ca13013/R/selac.R#3243#""expm"".ecoliSHORT_selac_UNREST_median",3839,,,,,,92.21,,,,,,3974.5,,,,,,95.46,,,,,,49668.8,,,,,,1,0,0,0,0,0
"GrahamDB-selac-744c6c8/R/selac.R#1222#""GetExpQt"".ecoliSHORT_selac_UNREST_median",,5.5,5.5,0.775,0.137931034482759,0.14,,0.13,0.13,0.168666666666667,0.0379310344827586,0.0444,,4039,4070,403.93,307.436206896552,263.274,,96.14,96.92,88.1643333333333,85.0193103448276,82.9056,,46324.7,47149.9,80655.8133333333,51818.9689655172,42358.6,0,1,1,30,29,25
"GrahamDB-selac-744c6c8/R/selac.R#3352#""internal_expm"".ecoliSHORT_selac_UNREST_median",,2114.75,3928.5,0.941666666666667,,,,93.045,93.55,0.205666666666667,,,,2175.75,4049,401.283333333333,,,,95.705,96.42,87.5856666666667,,,,24955.2,46915.6,80175.9666666667,,,0,2,1,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1828#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_median",,0.5,,0.191379310344828,0.233333333333333,0.195,,0.01,,0.04,0.0646666666666667,0.062,,2191,,232.198275862069,181.501666666667,158.296666666667,,52.15,,50.6668965517241,50.158,49.8686666666667,,26965.1,,48954.7724137931,32906.47,27517.59,0,1,0,29,30,30
"GrahamDB-selac-ca13013/R/selac.R#1541#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_median",,0.5,0.5,0.21551724137931,0.223333333333333,0.171428571428571,,0.01,0.01,0.0455172413793103,0.0616666666666667,0.055,,1984.5,1990.5,201.651724137931,156.246666666667,134.916071428571,,47.24,47.4,44.0313793103448,43.1786666666667,42.475,,24042.5,24066.4,40580.3482758621,27016.7233333333,22937.3892857143,0,1,1,29,30,28
"GrahamDB-selac-38a4c36/R/selac.R#3253#""expm::expm.Higham08"".ecoliSHORT_selac_UNREST_median",,,,45.4716666666667,,,,,,9.923,,,,,,391.643333333333,,,,,,85.482,,,,,,78285.6366666667,,,0,0,0,30,0,0
"GrahamDB-selac-ca13013/R/selac.R#1840#""GetLikelihoodSAC_CodonForManyCharVaryingBySite"".ecoliSHORT_selac_UNREST_median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
