"","r38824ae","rf09bcd7","r4ea4356","rab3e84e","r5c98a1f"
""".Call"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""replCmat4"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""[<-"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3576#""sum"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""new"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""initialize"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""*"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""callNextMethod"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
""".nextMethod"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""validObject"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""as"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
""".classEnv"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""getClassDef"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""rowSums"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""as.vector"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""anyStrings"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""is"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""callGeneric"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""Matrix::norm"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""validityMethod"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""getClass"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"""<GC>"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
""".requirePackage"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3782#""sum"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3809#""internal_expm"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
""".local"".ecoliHMMEVAL50_selac_UNREST_quadrature",17,6,12,12,18
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""FUN"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""lapply"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""tryCatch"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""tryCatchOne"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
""".Call"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""replCmat4"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""[<-"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3576#""sum"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""new"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""initialize"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""*"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""callNextMethod"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
""".nextMethod"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""validObject"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""as"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
""".classEnv"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""getClassDef"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""rowSums"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""as.vector"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""anyStrings"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""is"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""callGeneric"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""Matrix::norm"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""validityMethod"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""getClass"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"""<GC>"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
""".requirePackage"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3782#""sum"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
"GrahamDB-selac-2a88b49/R/selac.R#3809#""internal_expm"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
""".local"".ecoliHMMEVAL50_selac_UNREST_lognormal",17,6,12,12,18
