SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"ecoliSHORTTESTHMM","GTR","none","9e90977",1,2052,NA
"ecoliSHORTTESTHMM","GTR","none","9e90977",1,2052,NA
