"","self.time.r38824ae","self.time.rf09bcd7","self.time.r4ea4356","self.time.rab3e84e","self.time.r5c98a1f","self.pct.r38824ae","self.pct.rf09bcd7","self.pct.r4ea4356","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.r38824ae","total.time.rf09bcd7","total.time.r4ea4356","total.time.rab3e84e","total.time.r5c98a1f","total.pct.r38824ae","total.pct.rf09bcd7","total.pct.r4ea4356","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.r38824ae","mem.total.rf09bcd7","mem.total.r4ea4356","mem.total.rab3e84e","mem.total.r5c98a1f","samples.r38824ae","samples.rf09bcd7","samples.r4ea4356","samples.rab3e84e","samples.r5c98a1f"
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,0.154166666666667,0,0,0,0,0.0233333333333333,0,0,0,0,645.345833333333,0,0,0,0,99.0558333333333,0,0,0,0,2539.45,17,6,12,18,12
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,643.204166666667,0,0,0,0,98.7266666666667,0,0,0,0,643.345833333333,0,0,0,0,98.7483333333333,0,0,0,0,2480.01666666667,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,0.0291666666666667,0,0,0,0,0.00583333333333333,0,0,0,0,309.308333333333,0,0,0,0,49.8575,0,0,0,0,1243.10833333333,17,6,12,18,12
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_median",0.0117647058823529,0.00833333333333333,0.00416666666666667,0.00277777777777778,0.0375,0.0123529411764706,0.00666666666666667,0.000833333333333333,0.000555555555555556,0.00583333333333333,0.0794117647058823,0.00833333333333333,0.00416666666666667,0.00833333333333333,269.591666666667,0.0864705882352941,0.00666666666666667,0.000833333333333333,0.00166666666666667,41.58,33.6764705882353,3.23333333333333,1.175,1.8,1088.25,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",0.847058823529412,1.64166666666667,2.61666666666667,0,0,0.874117647058824,1.25833333333333,0.454166666666667,0,0,12.5264705882353,26.875,478.1125,0,0,12.8017647058824,20.6016666666667,83.2733333333333,0,0,2627.13529411765,4196.6,110582.15,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",0.0588235294117647,0.15,474.775,0,0,0.0594117647058824,0.118333333333333,82.6916666666667,0,0,8.37941176470588,23.8583333333333,474.929166666667,0,0,8.53941176470588,18.2966666666667,82.7183333333333,0,0,1587.69411764706,3690.15,109856.525,0,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,2.39166666666667,0,0,0,0,0.418888888888889,0,0,0,0,471.241666666667,0,0,0,0,83.2816666666667,0,0,0,0,109388.177777778,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,468.077777777778,0,0,0,0,82.725,0,0,0,0,468.230555555556,0,0,0,0,82.7533333333333,0,0,0,0,108709.316666667,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_median",0.0558823529411765,0.0583333333333333,0.025,0.0555555555555556,0.0416666666666667,0.0576470588235294,0.0466666666666667,0.005,0.0111111111111111,0.00583333333333333,74.6088235294118,129.558333333333,231.983333333333,417.866666666667,389.695833333333,75.8052941176471,99.3466666666667,41.6,72.1177777777778,58.255,17879.3705882353,22834.1166666667,53604.4083333333,96977.6388888889,1593.775,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",0,28.2083333333333,28.3791666666667,0,0,0,21.6366666666667,4.9425,0,0,0,55.5,294.2125,0,0,0,42.565,51.2425,0,0,0,9525.98333333333,67895.8416666667,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,27.95,0,0,0,0,4.94,0,0,0,0,289.15,0,0,0,0,51.0933333333333,0,0,0,0,66956.2666666667,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",0,26.5583333333333,26.425,0,0,0,20.3883333333333,4.605,0,0,0,51.8416666666667,278.495833333333,0,0,0,39.7533333333333,48.4991666666667,0,0,0,10145.85,64475.9,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,26.275,0,0,0,0,4.64444444444444,0,0,0,0,275.219444444444,0,0,0,0,48.6494444444444,0,0,0,0,64016.7111111111,0,17,6,12,18,12
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_median",0.0852941176470588,0.116666666666667,0,0,0.00416666666666667,0.0841176470588235,0.0866666666666667,0,0,0.000833333333333333,82.8970588235294,108.7,0,0,58.2958333333333,82.3529411764706,83.3333333333333,0,0,8.33333333333333,18718.3411764706,19213.1,0,0,258.175,17,6,12,18,12
"""tryCatch"".ecoliFASTHMMTEST_selac_UNREST_median",0.0588235294117647,0.0583333333333333,0,0,0,0.0617647058823529,0.045,0,0,0,74.4911764705882,66.225,0,0,0,76.4705882352941,50,0,0,0,17963.7529411765,11712.3833333333,0,0,0,17,6,12,18,12
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_median",0.00882352941176471,0.0333333333333333,0,0,0.00416666666666667,0.00882352941176471,0.0266666666666667,0,0,0.000833333333333333,18.25,64.3416666666667,0,0,47.0875,17.6470588235294,50,0,0,8.33333333333333,3387.52352941176,11276.3833333333,0,0,230.866666666667,17,6,12,18,12
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",0.05,0.0583333333333333,0.05,0.0305555555555556,0.0333333333333333,0.0517647058823529,0.0466666666666667,0.01,0.00611111111111111,0.00666666666666667,98.0941176470588,130.408333333333,574.179166666667,345.258333333333,437.829166666667,100,100,100,61.1111111111111,66.6666666666667,22400.5647058824,23148.65,132884.116666667,80044.1722222222,2029.21666666667,17,6,12,18,12
"""tryCatchOne"".ecoliFASTHMMTEST_selac_UNREST_median",0.0147058823529412,0.00833333333333333,0,0,0,0.0152941176470588,0.00666666666666667,0,0,0,22.8852941176471,21.7083333333333,0,0,0,23.5294117647059,16.6666666666667,0,0,0,5305.81176470588,3935.55,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1250#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_median",0.05,0,0,0,0,0.0517647058823529,0,0,0,0,50.8882352941176,0,0,0,0,51.2635294117647,0,0,0,0,10288.9941176471,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1122#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_median",25.9882352941176,0,0,0,0,26.4847058823529,0,0,0,0,51.4088235294118,0,0,0,0,52.4552941176471,0,0,0,0,11701.8882352941,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1454#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
""".Call"".ecoliFASTHMMTEST_selac_UNREST_median",15.6382352941176,22.0916666666667,0,0,0,15.9594117647059,16.935,0,0,0,17.5176470588235,24.8583333333333,0,0,0,17.86,19.0583333333333,0,0,0,3762.05882352941,3912.06666666667,0,0,0,17,6,12,18,12
"""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",0.45,0.6,0,0.108333333333333,0,0.458235294117647,0.458333333333333,0,0.02,0,17.3058823529412,24.4083333333333,0,0.108333333333333,0,17.6364705882353,18.7083333333333,0,0.02,0,3667.3,3808.28333333333,0,29.8555555555556,0,17,6,12,18,12
"""replCmat4"".ecoliFASTHMMTEST_selac_UNREST_median",18.3852941176471,20.0083333333333,0,0,0,18.7676470588235,15.335,0,0,0,19.3588235294118,20.9333333333333,0,0,0,19.7605882352941,16.045,0,0,0,4202.97058823529,2702.05,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1225#""exp_A_tvec_codon"".ecoliFASTHMMTEST_selac_UNREST_median",13.3147058823529,0,0,0,0,13.5241176470588,0,0,0,0,25.2529411764706,0,0,0,0,25.6541176470588,0,0,0,0,5718.15294117647,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3591#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",0,0.00833333333333333,16.0875,0,0,0,0.00666666666666667,2.79833333333333,0,0,0,0.075,16.1041666666667,0,0,0,0.0633333333333333,2.80166666666667,0,0,0,9.2,3883.54166666667,0,0,17,6,12,18,12
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,15.2583333333333,0,0,0,0,2.69611111111111,0,0,0,0,15.2611111111111,0,0,0,0,2.69666666666667,0,0,0,0,3720.83333333333,0,17,6,12,18,12
"""[<-"".ecoliFASTHMMTEST_selac_UNREST_median",0.00294117647058824,0.0166666666666667,0,0,0,0.00294117647058824,0.0133333333333333,0,0,0,1.07941176470588,7.33333333333333,0,0,0,1.10294117647059,5.51833333333333,0,0,0,171.282352941176,954.25,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1127#""[<-"".ecoliFASTHMMTEST_selac_UNREST_median",0,0.00833333333333333,0,0,0,0,0.00666666666666667,0,0,0,0,3.325,0,0,0,0,2.48333333333333,0,0,0,0,399.033333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#1126#""[<-"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",2.38823529411765,5.28333333333333,5.25833333333333,0,0,2.43882352941176,4.04666666666667,0.914166666666667,0,0,2.38823529411765,5.28333333333333,5.25833333333333,0,0,2.43882352941176,4.04666666666667,0.914166666666667,0,0,491.905882352941,750.133333333333,1173.48333333333,0,0,17,6,12,18,12
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,5.05277777777778,0,0,0,0,0.892222222222222,0,0,0,0,5.05833333333333,0,0,0,0,0.892777777777778,0,0,0,0,1132.58333333333,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3599#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0.579166666666667,0,0,0,0,0.101666666666667,0,0,0,0,4.81666666666667,0,0,0,0,0.8375,0,0,0,0,1184.95,0,0,17,6,12,18,12
"""new"".ecoliFASTHMMTEST_selac_UNREST_median",0.0147058823529412,0.0333333333333333,0,0,0,0.0147058823529412,0.0266666666666667,0,0,0,0.952941176470588,3.38333333333333,0,0,0,0.918235294117647,2.555,0,0,0,165.652941176471,449.433333333333,0,0,0,17,6,12,18,12
"""initialize"".ecoliFASTHMMTEST_selac_UNREST_median",0.144117647058824,0.158333333333333,0,0,0,0.142352941176471,0.118333333333333,0,0,0,3.41176470588235,4.65,0,0,0,3.45352941176471,3.555,0,0,0,616.576470588235,648.8,0,0,0,17,6,12,18,12
"""*"".ecoliFASTHMMTEST_selac_UNREST_median",0.0470588235294118,0.0916666666666667,0,0,0,0.0464705882352941,0.07,0,0,0,1.87058823529412,4.34166666666667,0,0,0,1.82647058823529,3.31833333333333,0,0,0,332.605882352941,576.016666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",0.414705882352941,0,0,0,0,0.421176470588235,0,0,0,0,6.51470588235294,0,0,0,0,6.62235294117647,0,0,0,0,1478.17058823529,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-f09bcd7/R/selac.R#3597#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_median",0.311764705882353,0.55,0,0,0,0.320588235294118,0.421666666666667,0,0,0,2.11764705882353,3.95833333333333,0,0,0,2.16705882352941,3.045,0,0,0,442.935294117647,653.466666666667,0,0,0,17,6,12,18,12
"""callNextMethod"".ecoliFASTHMMTEST_selac_UNREST_median",0.202941176470588,0.291666666666667,0,0,0,0.202941176470588,0.225,0,0,0,3.16764705882353,4.11666666666667,0,0,0,3.22411764705882,3.14833333333333,0,0,0,591.294117647059,588.983333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3592#""*"".ecoliFASTHMMTEST_selac_UNREST_median",0.0147058823529412,0.025,0,0,0,0.0147058823529412,0.0183333333333333,0,0,0,0.561764705882353,1.25833333333333,0,0,0,0.553529411764706,0.99,0,0,0,113.564705882353,182.6,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3576#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",1.58235294117647,3.45,3.65833333333333,0,0,1.61176470588235,2.64333333333333,0.6375,0,0,1.58235294117647,3.45,3.65833333333333,0,0,1.61176470588235,2.64333333333333,0.6375,0,0,1003.89411764706,2155.06666666667,794.766666666667,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",1.72058823529412,3.39166666666667,3.525,0,0,1.75235294117647,2.60333333333333,0.613333333333333,0,0,1.72058823529412,3.39166666666667,3.525,0,0,1.75235294117647,2.60333333333333,0.613333333333333,0,0,1182.24705882353,1918.33333333333,779.6,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliFASTHMMTEST_selac_UNREST_median",0.0294117647058824,0,0,0,0,0.0305882352941176,0,0,0,0,2.72352941176471,0,0,0,0,2.82705882352941,0,0,0,0,660.011764705882,0,0,0,0,17,6,12,18,12
""".nextMethod"".ecoliFASTHMMTEST_selac_UNREST_median",0.144117647058824,0.175,0,0,0,0.147058823529412,0.135,0,0,0,2.42941176470588,3.275,0,0,0,2.44529411764706,2.505,0,0,0,454,460.633333333333,0,0,0,17,6,12,18,12
"""validObject"".ecoliFASTHMMTEST_selac_UNREST_median",0.3,0.325,0,0,0,0.305882352941176,0.248333333333333,0,0,0,2.06176470588235,2.66666666666667,0,0,0,2.09882352941176,2.04,0,0,0,380.758823529412,383.966666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",0.455882352941176,1.03333333333333,1.1625,0,0,0.467647058823529,0.785,0.203333333333333,0,0,0.705882352941177,1.53333333333333,1.6875,0,0,0.718823529411765,1.16333333333333,0.295,0,0,162.594117647059,310.883333333333,432.866666666667,0,0,17,6,12,18,12
"""as"".ecoliFASTHMMTEST_selac_UNREST_median",0.108823529411765,0.133333333333333,0,0,0,0.110588235294118,0.101666666666667,0,0,0,1.18823529411765,1.70833333333333,0,0,0,1.21647058823529,1.30833333333333,0,0,0,240.117647058824,302.5,0,0,0,17,6,12,18,12
""".classEnv"".ecoliFASTHMMTEST_selac_UNREST_median",0.264705882352941,0.358333333333333,0,0,0,0.267647058823529,0.275,0,0,0,0.973529411764706,1.425,0,0,0,0.990588235294118,1.09333333333333,0,0,0,222.176470588235,210.766666666667,0,0,0,17,6,12,18,12
"""getClassDef"".ecoliFASTHMMTEST_selac_UNREST_median",0.382352941176471,0.566666666666667,0.0375,0.0166666666666667,0,0.385294117647059,0.435,0.0075,0.00333333333333333,0,1.09117647058824,1.40833333333333,0.0666666666666667,0.0277777777777778,0,1.10647058823529,1.08,0.0125,0.00555555555555556,0,196.917647058824,180.583333333333,17.8416666666667,9.15,0,17,6,12,18,12
"""rowSums"".ecoliFASTHMMTEST_selac_UNREST_median",0.0235294117647059,0.00833333333333333,0,0,0,0.0235294117647059,0.00666666666666667,0,0,0,0.232352941176471,0.208333333333333,0,0,0,0.233529411764706,0.175,0,0,0,40.7235294117647,67.8833333333333,0,0,0,17,6,12,18,12
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_median",0.00294117647058824,0.0333333333333333,0,0,0,0.00294117647058824,0.0266666666666667,0,0,0,0.0647058823529412,0.65,0,0,0,0.0635294117647059,0.485,0,0,0,13.6941176470588,93.4166666666667,0,0,0,17,6,12,18,12
"""as.vector"".ecoliFASTHMMTEST_selac_UNREST_median",0.841176470588235,1.19166666666667,0,0,0,0.864705882352941,0.908333333333333,0,0,0,0.847058823529412,1.2,0,0,0,0.871176470588235,0.915,0,0,0,188.011764705882,192.816666666667,0,0,0,17,6,12,18,12
"""anyStrings"".ecoliFASTHMMTEST_selac_UNREST_median",0.0264705882352941,0.0166666666666667,0,0,0,0.0276470588235294,0.0133333333333333,0,0,0,0.352941176470588,0.525,0,0,0,0.357058823529412,0.398333333333333,0,0,0,55.1235294117647,94.5833333333333,0,0,0,17,6,12,18,12
"""is"".ecoliFASTHMMTEST_selac_UNREST_median",0.438235294117647,0.516666666666667,0,0,0,0.45,0.396666666666667,0,0,0,0.932352941176471,1.10833333333333,0,0,0,0.950588235294118,0.85,0,0,0,172.782352941176,199.95,0,0,0,17,6,12,18,12
"""callGeneric"".ecoliFASTHMMTEST_selac_UNREST_median",0.0617647058823529,0.175,0,0,0,0.0617647058823529,0.135,0,0,0,0.544117647058824,1.01666666666667,0,0,0,0.542941176470588,0.783333333333333,0,0,0,129.805882352941,238.983333333333,0,0,0,17,6,12,18,12
"""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_median",0.0235294117647059,0.00833333333333333,0.0291666666666667,0.00555555555555556,0,0.0247058823529412,0.00666666666666667,0.00583333333333333,0.00111111111111111,0,0.305882352941176,0.241666666666667,0.075,0.0111111111111111,0,0.321176470588235,0.183333333333333,0.0133333333333333,0.00222222222222222,0,98.4705882352941,66.7333333333333,22.025,1.85555555555556,0,17,6,12,18,12
"""validityMethod"".ecoliFASTHMMTEST_selac_UNREST_median",0.0588235294117647,0.0833333333333333,0,0,0,0.0576470588235294,0.0633333333333333,0,0,0,0.488235294117647,1.20833333333333,0,0,0,0.478235294117647,0.921666666666667,0,0,0,87.5823529411765,183.666666666667,0,0,0,17,6,12,18,12
"""getClass"".ecoliFASTHMMTEST_selac_UNREST_median",0.179411764705882,0.225,0,0,0,0.182352941176471,0.171666666666667,0,0,0,0.694117647058824,0.941666666666667,0,0,0,0.697647058823529,0.721666666666667,0,0,0,134.011764705882,106.216666666667,0,0,0,17,6,12,18,12
"""<GC>"".ecoliFASTHMMTEST_selac_UNREST_median",0.982352941176471,1.13333333333333,0.9625,0.908333333333333,0.429166666666667,1.00117647058824,0.87,0.169166666666667,0.16,0.0666666666666667,0.982352941176471,1.13333333333333,0.9625,0.908333333333333,0.429166666666667,1.00117647058824,0.87,0.169166666666667,0.16,0.0666666666666667,496.729411764706,660.8,311.108333333333,270.094444444444,144.05,17,6,12,18,12
""".requirePackage"".ecoliFASTHMMTEST_selac_UNREST_median",0.388235294117647,0.616666666666667,0,0,0,0.396470588235294,0.473333333333333,0,0,0,0.555882352941176,0.866666666666667,0,0,0,0.567647058823529,0.666666666666667,0,0,0,120.905882352941,133.866666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3782#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",1.12647058823529,0,0,0,0,1.15117647058824,0,0,0,0,1.12941176470588,0,0,0,0,1.15470588235294,0,0,0,0,237.635294117647,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3809#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_median",0.147058823529412,0,0,0,0,0.149411764705882,0,0,0,0,0.905882352941176,0,0,0,0,0.930588235294118,0,0,0,0,209.858823529412,0,0,0,0,17,6,12,18,12
""".local"".ecoliFASTHMMTEST_selac_UNREST_median",0,0.00833333333333333,0,0,0,0,0.00666666666666667,0,0,0,0,0.2,0,0,0,0,0.153333333333333,0,0,0,0,36.7666666666667,0,0,0,17,6,12,18,12
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0.0416666666666667,0.1,0.0555555555555556,0,0,0.0283333333333333,0.0166666666666667,0.01,0,0,96.0166666666667,488.125,452.8,0,0,65.9683333333333,74.8516666666667,72.0716666666667,0,0,16853.6,112961.483333333,104971.127777778,0,17,6,12,18,12
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0205882352941176,0,0,0.00277777777777778,0.0583333333333333,0.0194117647058824,0,0,0.000555555555555556,0.00916666666666667,25.3411764705882,0,0,37.0361111111111,441.729166666667,23.1976470588235,0,0,5.545,66.5291666666667,6422.18823529412,0,0,8570.33888888889,1786.11666666667,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,0.191666666666667,0,0,0,0,0.0283333333333333,0,0,0,0,649.0625,0,0,0,0,99.785,0,0,0,0,2604.58333333333,17,6,12,18,12
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,0.1625,0,0,0,0,0.0233333333333333,0,0,0,0,600.008333333333,0,0,0,0,90.8083333333333,0,0,0,0,2373.925,17,6,12,18,12
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,642.725,0,0,0,0,98.7691666666667,0,0,0,0,642.8625,0,0,0,0,98.7933333333333,0,0,0,0,2507.49166666667,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,0.0208333333333333,0,0,0,0,0.00416666666666667,0,0,0,0,205.795833333333,0,0,0,0,33.24,0,0,0,0,856.416666666667,17,6,12,18,12
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0117647058823529,0,0,0.0138888888888889,0.0541666666666667,0.0117647058823529,0,0,0.00222222222222222,0.00833333333333333,0.0735294117647059,0,0,0.0194444444444444,480.183333333333,0.0723529411764706,0,0,0.00277777777777778,74.8441666666667,17.3176470588235,0,0,3.6,1939.98333333333,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.811764705882353,1.64166666666667,2.7,0,0,0.778235294117647,1.15,0.418333333333333,0,0,14.3294117647059,29.3166666666667,536.625,0,0,13.7423529411765,20.5066666666667,83.4283333333333,0,0,3256.56470588235,4947.08333333333,124426.833333333,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3574#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0735294117647059,0.158333333333333,533.141666666667,0,0,0.0741176470588235,0.113333333333333,82.8875,0,0,10.4117647058824,26.0833333333333,533.391666666667,0,0,10.1611764705882,18.2433333333333,82.9266666666667,0,0,2334.31176470588,4383.41666666667,123699.1,0,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,2.93611111111111,0,0,0,0,0.462777777777778,0,0,0,0,529.888888888889,0,0,0,0,83.2422222222222,0,0,0,0,122984.372222222,0,17,6,12,18,12
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,526.1,0,0,0,0,82.6438888888889,0,0,0,0,526.294444444444,0,0,0,0,82.6766666666667,0,0,0,0,122160.583333333,0,17,6,12,18,12
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0294117647058824,0.0333333333333333,0.05,0.0361111111111111,0.0375,0.0288235294117647,0.0233333333333333,0.00833333333333333,0.00666666666666667,0.00583333333333333,42.6676470588235,71.7833333333333,481.358333333333,317.55,329.125,40.8376470588235,49.7,74.9,49.9305555555556,49.9291666666667,10533.7705882353,12671.2,111407.766666667,73594.4277777778,1381.20833333333,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1120#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,31.725,31.5375,0,0,0,22.1666666666667,4.9025,0,0,0,61.1416666666667,326.1125,0,0,0,42.7383333333333,50.6983333333333,0,0,0,10025.1333333333,75437.475,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,31.725,0,0,0,0,4.99,0,0,0,0,322.275,0,0,0,0,50.6288888888889,0,0,0,0,74698.2888888889,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#1123#""internal_expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,30.8083333333333,30.6458333333333,0,0,0,21.5066666666667,4.7625,0,0,0,59.35,315.704166666667,0,0,0,41.465,49.08,0,0,0,11789.8,73131.2083333333,0,0,17,6,12,18,12
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,29.7305555555556,0,0,0,0,4.67888888888889,0,0,0,0,312.772222222222,0,0,0,0,49.1455555555556,0,0,0,0,72654.6111111111,0,17,6,12,18,12
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0647058823529412,0.141666666666667,0,0,0,0.0623529411764706,0.0983333333333333,0,0,0,67.2235294117647,121.291666666667,0,0,0,64.7058823529412,83.3333333333333,0,0,0,16655.6647058824,21595.4166666667,0,0,0,17,6,12,18,12
"""tryCatch"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0735294117647059,0.0666666666666667,0,0.00277777777777778,0.00416666666666667,0.0694117647058824,0.0466666666666667,0,0.000555555555555556,0.000833333333333333,82.1411764705882,118.925,0,33.6222222222222,58.4083333333333,76.4705882352941,83.3333333333333,0,5.55555555555556,8.33333333333333,20075.3352941176,21042.2666666667,0,7750.68333333333,264.466666666667,17,6,12,18,12
