SRC,Nuc.Model,Gamma.model,Revision,nCores,seed,model.LL
"selac19XX","GTR","noneXquadrature","v1.6.1-rc1",3,1052,NA
"selac19XX","GTR","noneXquadrature","744c6c8",3,1052,NA
"selac19XX","GTR","noneXquadrature","v1.6.1-rc1",3,1052,NA
