"","rab3e84e.self.time","r5c98a1f.self.time","rab3e84e.self.pct","r5c98a1f.self.pct","rab3e84e.total.time","r5c98a1f.total.time","rab3e84e.total.pct","r5c98a1f.total.pct","rab3e84e.mem.total","r5c98a1f.mem.total"
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_median",5.15416666666667,,0.9,,5.1625,,0.900833333333333,,1150.60833333333,
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.05,,0.01,,581.9,,100,,3143.8
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0583333333333333,0.0833333333333333,0.0116666666666667,0.0133333333333333,642.466666666667,661.1,99.86,99.8533333333333,148697.2,2776.36666666667
"""doTryCatch"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,
"<expr>#760#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,
"""lapply"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0666666666666667,0.09,0.01,0.012,0.1,653.59,0.0133333333333333,99.79,10.2,2663.46
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.05,0.09,0.01,0.016,666.65,649.48,99.81,99.786,154266.1,2658.96
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.183333333333333,,0.0266666666666667,,645.1,,99.7783333333333,,2634.53333333333
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,,,,,,,,,
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.05,,0.01,,591.225,,99.68,,2595.45
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.0888888888888889,,0.0155555555555556,,640.016666666667,,99.7955555555556,,148211.955555556,
"deSolve/R/ode.R#22#""rk"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,0.166666666666667,,0.025,,641.291666666667,,99.1466666666667,,2596.53333333333
"deSolve/R/rk.R#210#"".Call"".ecoliFASTHMMTEST_selac_UNREST_quadrature",,638.933333333333,,98.7766666666667,,639.083333333333,,98.8033333333333,,2542.51666666667
"expm/R/expm_vec.R#78#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_quadrature",2.96666666666667,,0.464166666666667,,535.345833333333,,83.2975,,124100.6,
"expm/R/expm_vec.R#78#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",531.504166666667,,82.6958333333333,,531.720833333333,,82.7308333333333,,123264.591666667,
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",32.0875,,4.99333333333333,,325.391666666667,,50.6325,,75309.5333333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliFASTHMMTEST_selac_UNREST_quadrature",29.6666666666667,,4.61916666666667,,315.820833333333,,49.1425,,73279.9083333333,
"<expr>#986#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_quadrature",0.05,0.05,0.01,0.01,637.485,646.525,100,100,147757.71,3086.15
"expm/R/expm_vec.R#95#""%*%"".ecoliFASTHMMTEST_selac_UNREST_quadrature",17.6916666666667,,2.75166666666667,,17.6958333333333,,2.7525,,4314.16666666667,
"expm/R/expm_vec.R#80#""sum"".ecoliFASTHMMTEST_selac_UNREST_quadrature",5.59583333333333,,0.87,,5.59583333333333,,0.87,,1267.08333333333,
"""tryCatchList"".ecoliFASTHMMTEST_selac_UNREST_lognormal",,,,,,,,,,
